CPU	 3	 0.016675
CPU	 1	 0
CPU	 5	 0
CPU	 7	 0
CPU	 9	 0
CPU	 11	 0
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0
CPU	 19	 0
CPU	 21	 0
CPU	 23	 0.016675
CPU	 25	 0
CPU	 27	 0.016675
CPU	 29	 0
CPU	 31	 0.016675
CPU	 33	 0.01665
CPU	 35	 0.016675
CPU	 37	 0.01665
CPU	 39	 0.016675
CPU	 41	 0.016675
CPU	 43	 0
CPU	 45	 0
CPU	 47	 0.016675
CPU	 49	 0.01665
CPU	 51	 0.016675
CPU	 53	 0.016675
CPU	 55	 0.016675
CPU	 57	 0.01665
CPU	 59	 0
CPU	 61	 0.016675
CPU	 63	 0.016675
CPU	 65	 0.016675
CPU	 67	 0.016675
CPU	 69	 0.016675
CPU	 71	 0.016675
CPU	 73	 0
CPU	 75	 0
CPU	 77	 0.016675
CPU	 79	 0.016675
CPU	 81	 0.016675
CPU	 83	 0.016675
CPU	 85	 0.016675
CPU	 87	 0
CPU	 89	 0.01665
CPU	 91	 0.016675
CPU	 93	 0.016675
CPU	 95	 0.016675
CPU	 97	 0.01665
CPU	 99	 0.016675
CPU	 101	 0.016675
CPU	 103	 0.01665
CPU	 105	 0.03335
CPU	 107	 0.016675
CPU	 109	 0.016675
CPU	 111	 0.016675
CPU	 113	 0.01665
CPU	 115	 0.016675
CPU	 117	 0.01665
CPU	 119	 0.016675
CPU	 121	 0.01665
CPU	 123	 0.016675
CPU	 125	 0.033325
CPU	 127	 0.033325
CPU	 129	 0.016675
CPU	 131	 0.01665
CPU	 133	 0.016675
CPU	 135	 0.016675
CPU	 137	 0.033325
CPU	 139	 0.033325
CPU	 141	 0.03335
CPU	 143	 0.016675
CPU	 145	 0.033325
CPU	 147	 0.01665
CPU	 149	 0.016675
CPU	 151	 0.016675
CPU	 153	 0.03335
CPU	 155	 0.03335
CPU	 157	 0.03335
CPU	 159	 0.03335
CPU	 161	 0.016675
CPU	 163	 0.03335
CPU	 165	 0.03335
CPU	 167	 0.03335
CPU	 169	 0.016675
CPU	 171	 0.033325
CPU	 173	 0.033325
CPU	 175	 0.01665
CPU	 177	 0.033325
CPU	 179	 0.016675
CPU	 181	 0.03335
CPU	 183	 0.033325
CPU	 185	 0.033325
CPU	 187	 0.03335
CPU	 189	 0.033325
CPU	 191	 0.01665
CPU	 193	 0.016675
CPU	 195	 0.033325
CPU	 197	 0.033325
CPU	 199	 0.03335
IO	 2	 3006.05
IO	 0	 3006.93
IO	 8	 3007.1
IO	 40	 3006.92
IO	 10	 3007.72
IO	 22	 3008.25
IO	 6	 3008.47
IO	 36	 3008.48
IO	 4	 3008.82
IO	 44	 3008.42
IO	 26	 3008.97
IO	 64	 3009.12
IO	 18	 3009.98
IO	 30	 3010.02
IO	 72	 3009.25
IO	 48	 3010.25
IO	 24	 3010.78
IO	 32	 3010.7
IO	 28	 3010.77
IO	 12	 3010.95
IO	 50	 3010.52
IO	 70	 3010.6
IO	 20	 3011.48
IO	 54	 3010.98
IO	 16	 3011.68
IO	 46	 3011.38
IO	 38	 3011.67
IO	 118	 3009.55
IO	 58	 3011.32
IO	 56	 3011.47
IO	 42	 3011.92
IO	 76	 3011.47
IO	 34	 3012.43
IO	 86	 3011.4
IO	 14	 3012.8
IO	 52	 3012.55
IO	 84	 3011.97
IO	 148	 3009.72
IO	 108	 3011.33
IO	 74	 3012.4
IO	 96	 3011.9
IO	 134	 3010.5
IO	 60	 3012.87
IO	 68	 3012.68
IO	 88	 3012.18
IO	 94	 3012.08
IO	 90	 3012.28
IO	 92	 3012.23
IO	 120	 3011.35
IO	 110	 3011.73
IO	 182	 3008.47
IO	 142	 3010.5
IO	 168	 3009.23
IO	 106	 3011.97
IO	 102	 3012.13
IO	 62	 3013.55
IO	 104	 3012.43
IO	 98	 3012.65
IO	 114	 3012.12
IO	 122	 3011.88
IO	 152	 3010.68
IO	 132	 3011.57
IO	 138	 3011.37
IO	 144	 3011.1
IO	 178	 3009.53
IO	 128	 3011.95
IO	 154	 3010.82
IO	 116	 3012.42
IO	 66	 3013.95
IO	 160	 3010.57
IO	 136	 3011.7
IO	 100	 3013.1
IO	 82	 3013.65
IO	 176	 3009.83
IO	 172	 3010.07
IO	 78	 3013.82
IO	 124	 3012.3
IO	 158	 3010.8
IO	 80	 3013.78
IO	 112	 3012.83
IO	 190	 3009.22
IO	 192	 3009.17
IO	 156	 3011.1
IO	 126	 3012.43
IO	 150	 3011.45
IO	 188	 3009.47
IO	 174	 3010.23
IO	 198	 3008.88
IO	 130	 3012.35
IO	 194	 3009.17
IO	 146	 3011.7
IO	 140	 3011.98
IO	 162	 3011.02
IO	 180	 3010.07
IO	 170	 3010.62
IO	 184	 3009.87
IO	 164	 3010.95
IO	 186	 3009.77
IO	 166	 3010.87
IO	 196	 3009.2
