CPU	 1	 0.016675
CPU	 3	 0.01665
CPU	 5	 0.03335
CPU	 7	 0.01665
CPU	 9	 0.03335
CPU	 11	 0.01665
CPU	 13	 0.016675
CPU	 15	 0.033325
CPU	 17	 0.033325
CPU	 19	 0.03335
CPU	 21	 0.033325
CPU	 23	 0.01665
CPU	 25	 0.033325
CPU	 27	 0.016675
CPU	 29	 0.03335
CPU	 31	 0.03335
CPU	 33	 0.03335
CPU	 35	 0.03335
CPU	 37	 0.03335
CPU	 39	 0.03335
CPU	 41	 0.016675
CPU	 43	 0.033325
CPU	 45	 0.033325
CPU	 47	 0.03335
CPU	 49	 0.03335
CPU	 51	 0.033325
CPU	 53	 0.03335
CPU	 55	 0.05
CPU	 57	 0.016675
CPU	 59	 0.033325
CPU	 61	 0.033325
CPU	 63	 0.033325
CPU	 65	 0.03335
CPU	 67	 0.033325
CPU	 69	 0.033325
CPU	 71	 0.03335
CPU	 73	 0.033325
CPU	 75	 0.05
CPU	 77	 0.033325
CPU	 79	 0.05
CPU	 81	 0.05
CPU	 83	 0.05
CPU	 85	 0.05
CPU	 87	 0.033325
CPU	 89	 0.033325
CPU	 91	 0.05
CPU	 93	 0.05
CPU	 95	 0.05
CPU	 97	 0.05
CPU	 99	 0.05
IO	 0	 2545.6
IO	 2	 2545.68
IO	 4	 2545.77
IO	 6	 2545.83
IO	 8	 2545.9
IO	 10	 2545.95
IO	 12	 2546.03
IO	 14	 2546.08
IO	 16	 2546.13
IO	 18	 2546.18
IO	 20	 2546.23
IO	 22	 2546.28
IO	 24	 2546.33
IO	 26	 2546.35
IO	 28	 2546.37
IO	 30	 2546.4
IO	 32	 2546.43
IO	 34	 2546.45
IO	 36	 2546.45
IO	 38	 2546.47
IO	 40	 2546.45
IO	 42	 2546.48
IO	 44	 2546.48
IO	 46	 2546.48
IO	 48	 2546.47
IO	 50	 2546.43
IO	 52	 2546.43
IO	 54	 2546.38
IO	 56	 2546.37
IO	 58	 2546.35
IO	 60	 2546.3
IO	 62	 2546.27
IO	 64	 2546.22
IO	 66	 2546.18
IO	 68	 2546.15
IO	 70	 2546.07
IO	 72	 2546.02
IO	 74	 2545.93
IO	 76	 2545.9
IO	 78	 2545.83
IO	 80	 2545.73
IO	 82	 2545.65
IO	 84	 2545.58
IO	 86	 2545.5
IO	 88	 2545.4
IO	 90	 2545.28
IO	 92	 2545.2
IO	 94	 2545.08
IO	 96	 2545
IO	 98	 2544.88
