CPU	 1	 0
CPU	 3	 0.016675
CPU	 5	 0
CPU	 7	 0.016675
CPU	 9	 0
CPU	 11	 0
CPU	 13	 0.016675
CPU	 15	 0.016675
CPU	 17	 0.01665
CPU	 19	 0
CPU	 21	 0
CPU	 23	 0.016675
CPU	 25	 0
CPU	 27	 0.016675
CPU	 29	 0.016675
CPU	 31	 0
CPU	 33	 0.016675
CPU	 35	 0.016675
CPU	 37	 0
CPU	 39	 0
CPU	 41	 0.01665
CPU	 43	 0.016675
CPU	 45	 0.016675
CPU	 47	 0.01665
CPU	 49	 0.016675
IO	 20	 747.667
IO	 38	 747.683
IO	 42	 748.117
IO	 46	 748.117
IO	 0	 748.683
IO	 4	 749.2
IO	 40	 748.983
IO	 18	 749.417
IO	 36	 749.267
IO	 14	 749.967
IO	 6	 750.017
IO	 28	 750.067
IO	 16	 750.233
IO	 24	 750.25
IO	 30	 750.2
IO	 8	 750.433
IO	 22	 750.383
IO	 32	 750.3
IO	 34	 750.35
IO	 48	 750.2
IO	 2	 750.717
IO	 26	 750.533
IO	 12	 750.717
IO	 10	 750.75
IO	 44	 750.35
