CPU	 1	 0
CPU	 3	 0.016675
CPU	 5	 0
CPU	 7	 0
CPU	 9	 0
CPU	 11	 0.016675
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0
CPU	 19	 0.01665
CPU	 21	 0.016675
CPU	 23	 0.016675
CPU	 25	 0
CPU	 27	 0
CPU	 29	 0.01665
CPU	 31	 0
CPU	 33	 0.01665
CPU	 35	 0
CPU	 37	 0
CPU	 39	 0.016675
CPU	 41	 0.016675
CPU	 43	 0.01665
CPU	 45	 0.016675
CPU	 47	 0
CPU	 49	 0.01665
CPU	 51	 0.016675
CPU	 53	 0.016675
CPU	 55	 0
CPU	 57	 0.01665
CPU	 59	 0
CPU	 61	 0.016675
CPU	 63	 0
CPU	 65	 0.016675
CPU	 67	 0.016675
CPU	 69	 0.016675
CPU	 71	 0
CPU	 73	 0.016675
CPU	 75	 0.016675
CPU	 77	 0
CPU	 79	 0
CPU	 81	 0.016675
CPU	 83	 0.016675
CPU	 85	 0.016675
CPU	 87	 0.016675
CPU	 89	 0.016675
CPU	 91	 0.01665
CPU	 93	 0.016675
CPU	 95	 0.016675
CPU	 97	 0.016675
CPU	 99	 0.01665
IO	 38	 1615.75
IO	 56	 1615.72
IO	 44	 1616.05
IO	 6	 1616.78
IO	 16	 1616.87
IO	 88	 1615.82
IO	 62	 1616.55
IO	 80	 1616.47
IO	 90	 1616.45
IO	 58	 1617.32
IO	 60	 1617.57
IO	 4	 1618.35
IO	 30	 1618.13
IO	 84	 1617.1
IO	 50	 1617.95
IO	 8	 1618.57
IO	 2	 1618.67
IO	 64	 1617.88
IO	 24	 1618.53
IO	 10	 1618.7
IO	 36	 1618.47
IO	 54	 1618.4
IO	 78	 1617.95
IO	 34	 1618.83
IO	 82	 1617.92
IO	 26	 1619.03
IO	 46	 1618.77
IO	 14	 1619.18
IO	 42	 1618.98
IO	 94	 1617.8
IO	 98	 1617.77
IO	 12	 1619.47
IO	 76	 1618.48
IO	 86	 1618.32
IO	 48	 1619.2
IO	 68	 1618.82
IO	 92	 1618.27
IO	 22	 1619.67
IO	 74	 1618.83
IO	 72	 1618.88
IO	 18	 1619.78
IO	 28	 1619.73
IO	 52	 1619.38
IO	 40	 1619.58
IO	 96	 1618.3
IO	 66	 1619.1
IO	 0	 1619.98
IO	 32	 1619.72
IO	 20	 1619.88
IO	 70	 1619.05
