CPU	 1	 0.01665
CPU	 3	 0
CPU	 5	 0
CPU	 7	 0
CPU	 9	 0.016675
CPU	 11	 0
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0
CPU	 19	 0
CPU	 21	 0.016675
CPU	 23	 0
CPU	 25	 0.016675
CPU	 27	 0.016675
CPU	 29	 0
CPU	 31	 0
CPU	 33	 0.016675
CPU	 35	 0.01665
CPU	 37	 0.016675
CPU	 39	 0.016675
CPU	 41	 0.016675
CPU	 43	 0.016675
CPU	 45	 0.016675
CPU	 47	 0.016675
CPU	 49	 0.016675
CPU	 51	 0.016675
CPU	 53	 0.016675
CPU	 55	 0.016675
CPU	 57	 0.016675
CPU	 59	 0.01665
CPU	 61	 0.016675
CPU	 63	 0.016675
CPU	 65	 0.01665
CPU	 67	 0.03335
CPU	 69	 0.033325
CPU	 71	 0.016675
CPU	 73	 0.01665
CPU	 75	 0.016675
CPU	 77	 0.033325
CPU	 79	 0.016675
CPU	 81	 0.016675
CPU	 83	 0.033325
CPU	 85	 0.016675
CPU	 87	 0.016675
CPU	 89	 0.03335
CPU	 91	 0.03335
CPU	 93	 0.03335
CPU	 95	 0.03335
CPU	 97	 0.03335
CPU	 99	 0.033325
IO	 0	 267.517
IO	 2	 267.617
IO	 4	 267.717
IO	 6	 267.817
IO	 8	 267.9
IO	 10	 268
IO	 12	 268.1
IO	 14	 268.183
IO	 16	 268.25
IO	 18	 268.333
IO	 20	 268.383
IO	 22	 268.45
IO	 24	 268.517
IO	 26	 268.567
IO	 28	 268.633
IO	 30	 268.7
IO	 32	 268.717
IO	 34	 268.75
IO	 36	 268.783
IO	 38	 268.817
IO	 40	 268.833
IO	 42	 268.85
IO	 44	 268.883
IO	 46	 268.883
IO	 48	 268.883
IO	 50	 268.883
IO	 52	 268.883
IO	 54	 268.867
IO	 56	 268.883
IO	 58	 268.85
IO	 60	 268.817
IO	 62	 268.8
IO	 64	 268.767
IO	 66	 268.75
IO	 68	 268.717
IO	 70	 268.667
IO	 72	 268.633
IO	 74	 268.583
IO	 76	 268.517
IO	 78	 268.467
IO	 80	 268.417
IO	 82	 268.35
IO	 84	 268.267
IO	 86	 268.2
IO	 88	 268.133
IO	 90	 268.033
IO	 92	 267.95
IO	 94	 267.85
IO	 96	 267.767
IO	 98	 267.65
